group_tcr_asset_amt	age	year_activity_level	vehicle_loss_insured_value	last_quar_deposit_ave_bal	city	group_new_customer_flag	group_asset_level	education_cd	tcr_asset_mon_chg_amt
24000.0	35.0	0.0	0	0.0	1	0	2	4	0.0
17198.96	49.0	0.0	59800	0.0	2	0	2	7	0.0
44539.1	38.0	6.0	126783	0.0	3	0	3	7	988.0
101542.02	32.0	0.0	86850	0.0	4	0	4	7	0.0
41436.1	40.0	0.0	128600	0.0	5	0	3	8	0.0
20000.0	51.0	0.0	0	0.0	6	0	2	6	-1074.0
24000.0	35.0	0.0	0	0.0	7	0	2	4	0.0
17198.96	49.0	0.0	59800	0.0	8	0	2	7	0.0
44539.1	38.0	6.0	126783	0.0	9	0	3	7	988.0
101542.02	32.0	0.0	86850	0.0	10	0	4	7	0.0
41436.1	40.0	0.0	128600	0.0	11	0	3	8	0.0
20000.0	51.0	0.0	0	0.0	12	0	2	6	-1074.0
24000.0	35.0	0.0	0	0.0	13	0	2	4	0.0
17198.96	49.0	0.0	59800	0.0	14	0	2	7	0.0
44539.1	38.0	6.0	126783	0.0	15	0	3	7	988.0
101542.02	32.0	0.0	86850	0.0	16	0	4	7	0.0
41436.1	40.0	0.0	128600	0.0	17	0	3	8	0.0
20000.0	51.0	0.0	0	0.0	18	0	2	6	-1074.0
24000.0	35.0	0.0	0	0.0	19	0	2	4	0.0
17198.96	49.0	0.0	59800	0.0	20	0	2	7	0.0
44539.1	38.0	6.0	126783	0.0	21	0	3	7	988.0
